timestamp,model_version,inputs,prediction,latency_ms,feedback_score,feedback_text
2025-12-20 19:16:53,v2,"{""rain_1h"": 21.85, ""rain_3h_sum"": 96.58, ""rain_6h_sum"": 104.16, ""rain_12h_sum"": 140.38}",1,35.32,1,Need more explanation for prediction.
2025-12-19 10:18:29,v2,"{""rain_1h"": 37.79, ""rain_3h_sum"": 105.75, ""rain_6h_sum"": 117.13, ""rain_12h_sum"": 195.73}",1,108.75,3,Can improve UI clarity.
2025-12-17 16:31:16,v2,"{""rain_1h"": 38.63, ""rain_3h_sum"": 39.61, ""rain_6h_sum"": 51.52, ""rain_12h_sum"": 53.82}",1,77.57,3,Can improve UI clarity.
2026-01-13 22:36:50,v2,"{""rain_1h"": 5.69, ""rain_3h_sum"": 38.16, ""rain_6h_sum"": 42.34, ""rain_12h_sum"": 178.34}",1,42.27,2,Useful for early warning.
2025-12-26 14:00:15,v2,"{""rain_1h"": 13.41, ""rain_3h_sum"": 69.87, ""rain_6h_sum"": 82.9, ""rain_12h_sum"": 217.26}",1,53.09,1,This helps decision making.
2025-12-18 02:03:23,v2,"{""rain_1h"": 44.13, ""rain_3h_sum"": 86.97, ""rain_6h_sum"": 127.39, ""rain_12h_sum"": 182.35}",1,124.53,5,This helps decision making.
2025-12-31 13:58:59,v2,"{""rain_1h"": 22.1, ""rain_3h_sum"": 55.94, ""rain_6h_sum"": 138.2, ""rain_12h_sum"": 256.97}",1,65.15,1,Prediction seems accurate.
2025-12-22 10:35:40,v1,"{""rain_1h"": 21.44, ""rain_3h_sum"": 63.2, ""rain_6h_sum"": 143.42, ""rain_12h_sum"": 165.7}",1,32.91,2,Looks correct based on rainfall.
2025-12-22 15:39:34,v1,"{""rain_1h"": 40.46, ""rain_3h_sum"": 45.6, ""rain_6h_sum"": 141.68, ""rain_12h_sum"": 213.79}",1,74.13,5,Need more explanation for prediction.
2026-01-13 12:14:14,v1,"{""rain_1h"": 40.18, ""rain_3h_sum"": 106.78, ""rain_6h_sum"": 191.48, ""rain_12h_sum"": 284.64}",1,74.98,1,Not sure about this result.
2026-01-04 01:51:17,v1,"{""rain_1h"": 45.25, ""rain_3h_sum"": 111.03, ""rain_6h_sum"": 157.74, ""rain_12h_sum"": 246.7}",1,7.14,5,This helps decision making.
2025-12-22 21:16:44,v2,"{""rain_1h"": 23.75, ""rain_3h_sum"": 96.72, ""rain_6h_sum"": 105.24, ""rain_12h_sum"": 178.25}",1,135.91,2,Can improve UI clarity.
2026-01-15 16:32:45,v2,"{""rain_1h"": 48.85, ""rain_3h_sum"": 104.9, ""rain_6h_sum"": 204.18, ""rain_12h_sum"": 215.66}",1,93.04,2,Looks correct based on rainfall.
2026-01-01 06:56:13,v2,"{""rain_1h"": 43.63, ""rain_3h_sum"": 58.84, ""rain_6h_sum"": 108.3, ""rain_12h_sum"": 218.43}",1,190.8,5,Looks correct based on rainfall.
2025-12-31 22:47:54,v2,"{""rain_1h"": 26.27, ""rain_3h_sum"": 38.32, ""rain_6h_sum"": 40.7, ""rain_12h_sum"": 122.87}",1,114.72,4,This helps decision making.
2026-01-02 05:52:17,v1,"{""rain_1h"": 49.16, ""rain_3h_sum"": 55.94, ""rain_6h_sum"": 143.02, ""rain_12h_sum"": 178.63}",1,105.75,1,Can improve UI clarity.
2026-01-13 08:36:00,v2,"{""rain_1h"": 21.65, ""rain_3h_sum"": 22.43, ""rain_6h_sum"": 111.63, ""rain_12h_sum"": 246.36}",1,82.56,3,Can improve UI clarity.
2026-01-08 19:59:15,v1,"{""rain_1h"": 41.94, ""rain_3h_sum"": 62.39, ""rain_6h_sum"": 146.31, ""rain_12h_sum"": 181.49}",1,69.06,3,Prediction seems accurate.
2025-12-31 06:53:56,v1,"{""rain_1h"": 25.12, ""rain_3h_sum"": 41.94, ""rain_6h_sum"": 72.43, ""rain_12h_sum"": 123.48}",1,60.55,5,Prediction seems accurate.
2025-12-31 19:55:19,v2,"{""rain_1h"": 29.52, ""rain_3h_sum"": 31.04, ""rain_6h_sum"": 79.94, ""rain_12h_sum"": 208.08}",1,165.42,1,Need more explanation for prediction.
2026-01-05 06:48:02,v1,"{""rain_1h"": 47.22, ""rain_3h_sum"": 103.05, ""rain_6h_sum"": 133.89, ""rain_12h_sum"": 249.09}",1,27.91,4,Looks correct based on rainfall.
2026-01-08 03:44:04,v1,"{""rain_1h"": 21.64, ""rain_3h_sum"": 42.78, ""rain_6h_sum"": 75.51, ""rain_12h_sum"": 94.27}",1,22.36,1,Need more explanation for prediction.
2025-12-28 19:29:03,v2,"{""rain_1h"": 39.07, ""rain_3h_sum"": 73.93, ""rain_6h_sum"": 89.24, ""rain_12h_sum"": 177.67}",1,82.4,2,This helps decision making.
2025-12-25 01:25:58,v2,"{""rain_1h"": 31.68, ""rain_3h_sum"": 39.14, ""rain_6h_sum"": 40.51, ""rain_12h_sum"": 65.54}",1,145.56,2,Need more explanation for prediction.
2025-12-24 16:45:43,v2,"{""rain_1h"": 12.78, ""rain_3h_sum"": 39.76, ""rain_6h_sum"": 119.02, ""rain_12h_sum"": 174.74}",1,192.35,5,Need more explanation for prediction.
2025-12-30 16:28:47,v1,"{""rain_1h"": 43.11, ""rain_3h_sum"": 118.93, ""rain_6h_sum"": 217.05, ""rain_12h_sum"": 257.71}",1,124.1,2,Good model performance.
2026-01-07 01:25:06,v1,"{""rain_1h"": 13.83, ""rain_3h_sum"": 46.49, ""rain_6h_sum"": 72.77, ""rain_12h_sum"": 191.37}",1,183.93,4,Useful for early warning.
2025-12-16 23:50:40,v1,"{""rain_1h"": 30.37, ""rain_3h_sum"": 102.13, ""rain_6h_sum"": 166.69, ""rain_12h_sum"": 203.89}",1,193.5,2,Useful for early warning.
